10T	1 TON (3500) TRUCK
2CC	STANDARD CAB CAB AND CHASSIS
2CE	EXTENDED CAB CAB & CHASSIS
2CP	2 DOOR COUPE
2CV	2 DOOR CONVERTIBLE
2EX	EXTENDED CAB PICKUP
2FB	2 DOOR FASTBACK
2HB	2 DOOR HATCHBACK
2HT	2 DOOR HARDTOP
2MV	MINI-VAN
2PU	STANDARD CAB PICKUP
2SE	2 DOOR SEDAN
2SV	2 DOOR SUV
2SW	2 DOOR STATION WAGON
2VN	VAN
4CC	CREW CAB CAB & CHASSIS
4CP	4 DOOR COUPE
4EX	4 DOOR EXTENDED CAB PICKUP
4HB	4 DOOR HATCHBACK
4HT	4 DOOR HARDTOP
4PU	CREW CAB PICKUP
4SE	4 DOOR SEDAN
4SV	4 DOOR SUV
4SW	STATION WAGON
50T	1/2 TON (1500) TRUCK
75T	3/4 TON (2500) TRUCK
ATV	ATV
MTC	MOTORCYCLE
SCT	SCOOTER
TRL	TRAILER
